group,site_title,active,first_seen,last_seen,victim_count,language,login_gate,screenshot_url,first_party_victims,mirrors_up
qilin,Qilin blog,yes,2022-10-08,2026-09-17,2293,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/qilin/20260916T033521Z.png,80,0
lockbit3,,yes,2021-12-26,2025-12-05,2016,,,,71,0
akira,,yes,2023-04-12,2026-09-17,1611,,,,0,0
play,PLAY NEWS,no,2022-11-26,2026-09-10,1312,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/play/20260612T033041Z.png,0,0
clop,,yes,2020-03-13,2026-09-10,1302,,,,0,0
lockbit2,,no,2021-09-09,2022-06-28,1002,,,,0,0
incransom,,yes,2023-08-06,2026-09-17,939,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/incransom/20260916T034539Z.png,23,0
thegentlemen,Gentlecloud Protection,yes,2023-02-28,2026-09-14,867,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/thegentlemen/20260916T033221Z.png,0,0
ransomhub,,no,2023-03-09,2025-03-31,842,,,,0,0
alphv,,no,2021-09-09,2024-03-03,731,,,,0,0
dragonforce,DragonForce | Migration completed,yes,2022-10-20,2026-09-16,651,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/dragonforce/20260916T033607Z.png,32,0
safepay,Safepay Blog,no,2023-11-10,2026-09-15,569,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/safepay/20260916T033311Z.png,51,0
bianlian,,no,2022-07-14,2025-03-31,552,,,,0,0
blackbasta,,no,2022-04-26,2025-01-11,523,,,,0,0
medusa,,no,2023-01-11,2026-02-13,517,,,,0,0
8base,,no,2022-04-03,2025-02-01,455,,,,0,0
lynx,Lynx,yes,2023-05-22,2026-08-27,417,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/lynx/20260916T033720Z.png,0,0
everest,,yes,2021-09-09,2026-09-07,398,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/everest/20260916T033657Z.png,213,0
lockbit5,LockBit - Leaked,yes,2023-04-17,2026-09-14,362,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/lockbit5/20260916T033937Z.png,135,0
conti,,no,2020-07-31,2022-06-07,351,,,,0,0
dispossessor,,no,2020-02-03,2024-08-11,344,,,,0,0
nightspire,Verify human - NightSpire,yes,2025-02-17,2026-09-02,326,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/nightspire/20260915T033016Z.png,20,0
pysa,,no,2020-07-01,2022-09-20,309,,,,0,0
hunters,,no,2021-09-09,2025-05-27,307,,,,0,0
killsec,,yes,2024-02-21,2026-09-18,286,,,,231,0
rhysida,Rhysida,yes,2023-06-05,2026-09-12,286,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/rhysida/20260916T034606Z.png,0,0
sinobi,Sinobi,no,2025-03-24,2026-05-05,274,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/sinobi/20260526T033318Z.png,0,0
cactus,,no,2023-07-03,2025-03-17,248,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/cactus/20260823T033211Z.png,0,0
royal,,no,2022-11-04,2023-07-19,211,,,,0,0
ransomhouse,©RansomHouse,yes,2021-06-01,2026-09-12,209,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/ransomhouse/20260917T033117Z.png,0,0
hive,,no,2021-08-14,2023-01-16,208,,,,0,0
coinbasecartel,System Breach • Coinbasecartel,no,2023-05-26,2026-08-23,206,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/coinbasecartel/20260825T033023Z.png,0,0
fog,,no,2021-12-20,2025-03-20,189,,,,0,0
stormous,,no,2022-03-22,2026-06-28,188,,,,0,0
vicesociety,,no,2021-05-31,2023-06-20,188,,,,0,0
blacksuit,,no,2023-06-12,2025-05-29,184,,,,0,0
devman,,no,2023-06-07,2026-02-03,184,,,,0,0
babuk2,,no,2021-02-01,2025-04-06,180,,,,0,0
nova,,yes,2025-03-22,2026-07-25,178,,,,0,0
handala,,yes,2024-04-05,2026-04-07,175,,,,0,0
worldleaks,World Leaks,no,2022-06-23,2026-07-21,174,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/worldleaks/20260721T033031Z.png,0,0
funksec,,yes,2023-04-13,2025-03-18,172,,,,0,0
malas,,no,2023-04-09,2023-04-09,170,,,,0,0
cloak,CAPTCHA Verification,yes,2023-08-24,2026-06-18,166,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/cloak/20260916T033152Z.png,0,0
